mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
2.4430440913257617e+22,1448429.5448153804,1919.3340635930494,10634130.671424232,6.464170813864942e+20,0.0072203273097959375,6.412062095147818e-07,0.9727790314839952
2.7629301337610628e+22,1509072.9714645722,1919.333981021355,10634130.627500422,7.31057311153896e+20,0.007220327979290166,6.412063556149448e-07,0.9727790308143549
3.885336038583145e+22,1690686.376036513,1919.3337109842328,10634130.483854776,1.0280403100979445e+21,0.007220330168761358,6.412068334117199e-07,0.9727790286244059
6.3625078368355136e+22,1992794.4561057861,1919.3331878785807,10634130.205589851,1.6834879508817057e+21,0.007220334410124473,6.412077589825937e-07,0.9727790243821172
1.1322764190213726e+23,2414921.9263704973,1919.3323062293914,10634129.736598179,2.995948956641696e+21,0.007220341558582535,6.412093189555003e-07,0.9727790172320991
2.0778781489122744e+23,2956593.527958467,1919.3309230405064,10634129.000812516,5.497971433874381e+21,0.007220352773573249,6.412117663520397e-07,0.972779006014661
3.805501789760083e+23,3617334.0424702037,1919.3288585583302,10634127.902611822,1.0069201656159983e+22,0.007220369512587319,6.412154192406587e-07,0.9727789892719941
6.833086497592488e+23,4396668.30901794,1919.3258963374967,10634126.326855255,1.8080109328191082e+22,0.0072203935306561,6.41220660628454e-07,0.9727789652486839
1.1929613589955631e+24,5294121.244061539,1919.3217832464043,10634124.138884157,3.1565447044782157e+22,0.007220426880336605,6.412279384635774e-07,0.9727789318917256
2.0191553051414598e+24,6309217.864253692,1919.3162296141736,10634121.1845983,5.342656264952695e+22,0.00722047191056493,6.412377653935711e-07,0.9727788868516702
3.3129875299713226e+24,7441483.312385744,1919.3089095199252,10634117.290607661,8.766169694715895e+22,0.007220531264375947,6.412507182798785e-07,0.9727788274849064
5.276729920873549e+24,8690442.88640241,1919.2994611791253,10634112.264434218,1.3962341291107761e+23,0.007220607875859157,6.412674375503619e-07,0.9727787508567038
8.174545058387917e+24,10055622.071403196,1919.2874873879896,10634105.894744141,2.163023177878131e+23,0.007220704966675415,6.412886264616501e-07,0.9727786537446989
1.2344160830698615e+25,11536546.574533606,1919.2725560002104,10634097.951595508,3.266362556286945e+23,0.007220826042346671,6.413150503187545e-07,0.9727785326426037
1.8209471824229249e+25,13132742.36266807,1919.2542004212519,10634088.18669373,4.818441640861147e+23,0.007220974888446795,6.413475356812259e-07,0.9727783837640183
2.6294035773146328e+25,14843735.702788115,1919.2319201118721,10634076.333650168,6.957838088113936e+23,0.0072211555667679155,6.413869695733213e-07,0.9727782030462632
3.723543361039041e+25,16669053.204961559,1919.205181096511,10634062.108241158,9.853326256434255e+23,0.007221372411503692,6.414342987087349e-07,0.9727779861541983
5.180046190841191e+25,18608221.8678306,1919.1734164742616,10634045.208665874,1.3707909265382154e+24,0.007221630025473156,6.41490528736767e-07,0.9727777284839988
7.0901126728668265e+25,20660769.126518335,1919.1360269312124,10634025.315802407,1.876306743866991e+24,0.007221933276418305,6.415567235177054e-07,0.9727774251668588
9.561140811474938e+25,22826222.90286561,1919.0923812536942,10634002.093461044,2.5303216130246403e+24,0.0072222872933627325,6.416340044278955e-07,0.9727770710726336
1.2718476466446464e+26,25104111.65791047,1919.0418168423637,10633975.188634783,3.366036618549588e+24,0.007222697463058088,6.417235497009195e-07,0.9727766608133929
1.670723478011181e+26,27493964.446528707,1918.9836402214837,10633944.231746348,4.421898052266722e+24,0.007223169428581704,6.418265941434858e-07,0.9727761887448249
2.1694189553339676e+26,29995310.97413843,1918.917127575194,10633908.836891998,5.742102075332066e+24,0.00722370907863214,6.419444273613533e-07,0.9727756489769411
2.786972756467456e+26,32607681.655400496,1918.8415252374443,10633868.602081425,7.377117782448016e+24,0.007224322554142877,6.420783948369048e-07,0.972775035367463
3.544986484068256e+26,35330607.67483542,1918.7560502271422,10633823.109473672,9.384228119847468e+24,0.007225016239258492,6.422298964886099e-07,0.9727743415308456
4.467832189776188e+26,38163621.0492615,1918.6598907650603,10633771.92560884,1.1828088138734724e+25,0.007225796759662878,6.424003864623177e-07,0.9727735608399514
5.582865498633769e+26,41106254.691989355,1918.55220679659,10633714.601635646,1.478130007858286e+25,0.0072266709797132395,6.42591372763681e-07,0.9727726864289147
