sample,pixel_x,pixel_y,Teff_K,log10_L_Lsun
0,1593.0,570.0,2226.7250821467687,-3.380969875091844
1,1566.0,523.0,2300.6571741511502,-3.260102865540044
2,1529.0,473.0,2401.9715224534502,-3.1315209404849376
3,1493.0,445.0,2500.5476451259583,-3.0595150624540777
4,1433.0,395.0,2664.841182913472,-2.9309331373989713
5,1377.0,356.0,2818.181818181818,-2.830639235855988
6,1303.0,310.0,3020.8105147864185,-2.71234386480529
7,1233.0,273.0,3212.486308871851,-2.6171932402645113
8,1173.5,247.0,3375.4107338444687,-2.550330639235856
9,1146.0,246.0,3450.711938663746,-2.5477590007347537
10,1128.0,274.0,3500.0,-2.6197648787656136
11,1091.0,267.0,3601.3143483023,-2.6017634092578987
12,1036.0,249.0,3751.9167579408545,-2.55547391623806
13,950.0,219.0,3987.4041621029573,-2.4783247612049966
14,864.0,190.0,4222.89156626506,-2.4037472446730344
15,763.0,156.5,4499.452354874042,-2.317597354886113
16,669.0,130.0,4756.84556407448,-2.2494489346069066
17,586.5,114.0,4982.749178532311,-2.2083027185892727
18,494.0,99.0,5236.035049288062,-2.1697281410727407
19,393.0,95.0,5512.595837897043,-2.159441587068332
20,346.0,100.0,5641.292442497262,-2.1722997795738426
21,309.0,107.5,5742.606790799562,-2.1915870683321086
22,289.0,127.0,5797.3713033954,-2.2417340191036
23,287.0,158.0,5802.847754654984,-2.3214548126377665
24,321.0,208.5,5709.748083242059,-2.451322556943424
25,374.0,254.5,5564.622124863089,-2.569617927994122
26,458.0,315.0,5334.61117196057,-2.725202057310801
27,562.0,383.0,5049.835706462212,-2.900073475385746
28,690.0,465.0,4699.34282584885,-3.1109478324761204
29,784.0,519.0,4441.949616648411,-3.2498163115356355
30,896.0,587.5,4135.268346111719,-3.4259735488611316
31,1000.0,655.0,3850.4928806133626,-3.5995591476855253
32,1114.0,731.0,3538.3351588170867,-3.7950036737692874
33,1206.0,796.0,3286.418400876232,-3.9621601763409258
34,1270.0,837.0,3111.1719605695507,-4.067597354886113
35,1358.0,903.0,2870.208105147864,-4.237325495958854
36,1459.0,982.0,2593.647316538883,-4.440484937545922
37,1530.0,1039.0,2399.2332968236583,-4.5870683321087435
38,1610.0,1110.0,2180.1752464403066,-4.7696546656869945
39,1691.0,1188.0,1958.378970427163,-4.970242468772961
40,1764.0,1266.0,1758.4884994523545,-5.170830271858927
41,1801.0,1309.0,1657.174151150055,-5.281410727406319
