age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3,nuclear_deposited_Lsun,nuclear_neutrino_Lsun,last_halfstep_gravothermal_Lsun,hydrogen_mass_Msun,thermal_neutrino_Lsun
0,0,0.12594462902252823,0.0008361605073278669,2765.726096457834,0.7,0,0,0,0,0,1.0000000000000007,4629323.730141283,381.7396485840878,0.7,0,0.0008361605411541365,3.321733063978905e-05,,0.0699999999999999,3.382556042362722e-11
100000000,100000000,0.12594491892392565,0.0008361786673438151,2765.737929970141,0.6999763205979127,2.367940202204461e-05,0.07198767686844575,1.0787286619518e-08,-2.2212028882862e-09,2,1.0000000000000007,4629429.966502579,381.73732950712025,0.6999763205979127,2.367940202204461e-05,0.0008362157003247069,3.3219521598614745e-05,-3.699013360006646e-08,0.06999763205979125,3.382719272366199e-11
300000000,200000000,0.1259462132900024,0.0008362320285490425,2765.767840996546,0.6999289574960165,7.104250194776184e-05,0.06945298459015702,1.3322676295501878e-15,-1.4934105507791173e-08,2,1.0000000000000007,4629631.402877406,381.7262718367614,0.6999289574960165,7.104250194776184e-05,0.0008362981650910969,3.3222795204368806e-05,-6.610271284545831e-08,0.06999289574960167,3.382920800418848e-11
700000000,400000000,0.12594953329784656,0.0008363558998717174,2765.833804659949,0.6998342174336932,0.00016578254212558122,0.14652870028442067,3.4419134209429103e-12,5.027223082265664e-11,3,1.0000000000000007,4630023.012578569,381.6975873930975,0.6998342174336932,0.00016578254212558122,0.0008364347018361907,3.322820725681593e-05,-7.876812963504137e-08,0.06998342174336926,3.383195952746925e-11
1500000000,800000000,0.12595656821326287,0.0008366113321309645,2765.967713937084,0.6996446861248918,0.0003553136442197163,0.576229859383659,-1.4129697412101905e-11,1.9063195466628713e-11,3,1.0000000000000007,4630800.363574391,381.6366599225753,0.6996446861248918,0.0003553136442197163,0.0008366930184862604,3.323841602139038e-05,-8.165253034733216e-08,0.06996446861248924,3.3836769632270086e-11
2448494063.2291183,948494063.2291183,0.1259650131750179,0.0008369139372020612,2766.1250668150033,0.6994198969302904,0.0005801021362971554,0.8008124341429834,-3.317934815783019e-11,2.1966206631418572e-11,3,1.0000000000000007,4631720.804943442,381.5634889804951,0.6994198969302904,0.0005801021362971554,0.0008369964428492166,3.325035605040453e-05,-8.247183263410554e-08,0.069941989693029,3.384228947507148e-11
3402413553.90053,953919490.6714112,0.12597362301793932,0.0008372146037457924,2766.27893282486,0.6991937417291332,0.0008062558939390547,0.7956281633525464,-3.3578917424392785e-11,3.22786242179518e-12,3,1.0000000000000007,4632645.074522692,381.48882022689145,0.6991937417291332,0.0008062558939390547,0.0008372982430337793,3.32621745554274e-05,-8.360546847097985e-08,0.0699193741729134,3.3847628728678606e-11
4364910051.956298,962496498.0557681,0.12598238868991188,0.0008375165831503916,2766.4320978804108,0.6989654726517005,0.0010345224916060364,0.8003771423403805,-3.459910136172084e-11,3.7410963216188975e-11,3,1.0000000000000007,4633576.818001422,381.4127488186646,0.6989654726517005,0.0010345224916060364,0.0008376009444596329,3.327396925258493e-05,-8.432748534724949e-08,0.06989654726517007,3.38528712972195e-11
5333175264.20991,968265212.2536131,0.1259912720798194,0.0008378192921772409,2766.584498062768,0.6987357549067027,0.0012642364227045187,0.8018845099044825,-3.520095326337014e-11,8.01714250542318e-12,3,1.0000000000000007,4634513.528834964,381.33561830446564,0.6987357549067027,0.0012642364227045187,0.000837904235530424,3.328572631287735e-05,-8.490952465004169e-08,0.06987357549067025,3.385802524675215e-11
6306327816.838628,973152552.6287172,0.1260002618819999,0.000838122518776847,2766.7360820552944,0.6985047971327387,0.001495188738964912,0.8015361263602472,-3.566535955457084e-11,1.794342452399178e-11,3,1.0000000000000007,4635454.420258919,381.257536784736,0.6985047971327387,0.001495188738964912,0.0008382080411513792,3.32974411916153e-05,-8.548854133123454e-08,0.06985047971327384,3.3863092972823635e-11
