mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
2.4430000471705597e+22,2654049.9654330746,311.9662280968268,8469423.14909276,8.156640585406945e+21,0.1517586981435822,0.00022777843742789408,0.8280135234189899
2.762880322575069e+22,2765170.788453843,311.9662199012709,8469423.03671036,9.224650529594915e+21,0.15175869977525927,0.00022777846187389052,0.8280135217628669
3.8852659922241365e+22,3097952.61622217,311.96619309906237,8469422.669182181,1.2972049061143414e+22,0.15175870511139028,0.00022777854182051954,0.8280135163467892
6.3623931310536435e+22,3651524.491674201,311.96614117884224,8469421.957220487,2.1242628133879682e+22,0.15175871544833974,0.0002277786966901981,0.8280135058549701
1.1322560058988637e+23,4425015.465968786,311.96605367181905,8469420.757270617,3.780351728812323e+22,0.15175873287036373,0.00022777895770989727,0.8280134881719265
2.0778406881116255e+23,5417554.602688205,311.96591638507437,8469418.874710303,6.93744463669225e+22,0.15175876020316048,0.00022777936721542365,0.8280134604296242
3.805433182684163e+23,6628270.983717449,311.9657114773737,8469416.064888999,1.2705475797351325e+23,0.15175880099876338,0.00022777997842565438,0.8280134190228111
6.832963308034315e+23,8056293.716246186,311.9654174656655,8469412.033216717,2.2813675702345887e+23,0.15175885953423524,0.00022778085542377347,0.8280133596103411
1.1929398518212016e+24,9700751.940897625,311.9650092256313,8469406.435170965,3.9829403626613407e+23,0.15175894081153912,0.00022778207315664187,0.8280132771153044
2.0191189030192255e+24,11560774.841096414,311.96445800625486,8469398.876495888,6.741334972291196e+23,0.1517590505546015,0.0002277837173927931,0.8280131657280059
3.312927802135272e+24,13635491.653718747,311.96373145850885,8469388.9135945,1.1060998726165909e+24,0.15175919520355616,0.0002277858846389913,0.8280130189118049
5.276634789920973e+24,15924031.681012463,311.9627936736869,8469376.05405278,1.761721628740842e+24,0.15175938190705063,0.00022778868202883365,0.8280128294109206
8.1743976844897e+24,18425524.30375168,311.9616052274724,8469359.757241849,2.7291871811722035e+24,0.15175961851338546,0.00022779222719522172,0.8280125892594193
1.234393828533507e+25,21139098.995587338,311.9601232272141,8469339.434963567,4.1212403939040176e+24,0.15175991356099228,0.00022779664813445927,0.8280122897908734
1.820914353674315e+25,24063885.33854914,311.9583013609201,8469314.452119038,6.079384352133112e+24,0.15176027626853641,0.0002278020830666177,0.8280119216483971
2.6293561733976672e+25,27199013.039660804,311.9560899471822,8469284.127388613,8.778382400834176e+24,0.1517607165248034,0.00022780868029484403,0.8280114747949019
3.7234762315417566e+25,30543611.948626194,311.95343598554433,8469247.733917292,1.2431045424997892e+25,0.15176124487845344,0.0002278165980651663,0.8280109385234815
5.179952802940746e+25,34096812.07654788,311.9502832071134,8469204.500002246,1.7293294312034564e+25,0.1517618725276804,0.00022782600442775605,0.828010301467892
7.089984849540154e+25,37857743.61563902,311.9465721252856,8469153.609780522,2.3669486481834887e+25,0.15176261130979982,0.0002278370771002555,0.8280095516131
9.560968439485704e+25,41825536.959890075,311.94224008656,8469094.203916408,3.1917995294848377e+25,0.15176347369075943,0.00022785000333359488,0.828008676305907
1.2718247172774111e+26,45999322.72665235,311.93722132137736,8469025.380287869,4.24570310529399e+25,0.15176447275457824,0.00022786497978064874,0.8280076622656412
1.670693357554319e+26,50378231.779101275,311.93144699504535,8468946.194671925,5.577069219147374e+25,0.15176562219270381,0.00022788221236801434,0.8280064955949282
2.1693798441998273e+26,54961395.249541074,311.9248452587204,8468855.661429292,7.241523512393383e+25,0.15176693629327506,0.00022790191617117432,0.8280051617905538
2.786922511831649e+26,59747944.563514255,311.9173413004948,8468752.754187988,9.302555104241e+25,0.15176842993028686,0.00022792431529331076,0.82800364575442
3.544922573664245e+26,64737011.4646801,311.90885739658813,8468636.406526417,1.1832183779856475e+26,0.1517701185526345,0.00022794964274799905,0.8280019318046177
