species,sample,pixel_x,pixel_y,age_yr,mass_fraction
hydrogen,0,454.5,890.0,6147540983.606558,0.699468085106383
hydrogen,1,474.0,900.0,245901639344.2623,0.6728723404255319
hydrogen,2,495.0,910.0,504098360655.73773,0.6462765957446809
hydrogen,3,515.0,918.0,750000000000.0,0.625
hydrogen,4,535.0,926.5,995901639344.2623,0.6023936170212766
hydrogen,5,576.0,939.0,1500000000000.0,0.5691489361702128
hydrogen,6,617.0,950.0,2004098360655.7378,0.5398936170212766
hydrogen,7,658.0,960.0,2508196721311.4756,0.5132978723404256
hydrogen,8,697.5,971.5,2993852459016.3936,0.48271276595744683
hydrogen,9,737.0,985.5,3479508196721.3115,0.4454787234042553
hydrogen,10,776.0,1002.0,3959016393442.623,0.4015957446808511
hydrogen,11,819.0,1022.0,4487704918032.787,0.3484042553191489
hydrogen,12,855.0,1042.0,4930327868852.459,0.29521276595744683
hydrogen,13,897.0,1068.0,5446721311475.41,0.22606382978723405
hydrogen,14,910.0,1076.5,5606557377049.181,0.20345744680851063
hydrogen,15,919.0,1087.0,5717213114754.099,0.17553191489361702
hydrogen,16,924.0,1108.5,5778688524590.164,0.11835106382978723
hydrogen,17,933.0,1132.5,5889344262295.082,0.05452127659574468
hydrogen,18,942.0,1146.0,6000000000000.0,0.018617021276595744
hydrogen,19,950.0,1152.0,6098360655737.705,0.0026595744680851063
helium3,0,466.0,1150.0,147540983606.55737,0.007978723404255319
helium3,1,487.0,1138.0,405737704918.0328,0.0398936170212766
helium3,2,511.0,1127.0,700819672131.1476,0.06914893617021277
helium3,3,535.0,1120.0,995901639344.2623,0.08776595744680851
helium3,4,559.0,1115.0,1290983606557.377,0.10106382978723404
helium3,5,577.5,1116.0,1518442622950.8196,0.09840425531914894
helium3,6,600.0,1118.0,1795081967213.1147,0.09308510638297872
helium3,7,624.5,1122.5,2096311475409.8362,0.08111702127659574
helium3,8,649.0,1126.0,2397540983606.5576,0.07180851063829788
helium3,9,674.0,1131.0,2704918032786.8853,0.05851063829787234
helium3,10,697.0,1137.0,2987704918032.787,0.0425531914893617
helium3,11,723.0,1139.0,3307377049180.3276,0.03723404255319149
helium3,12,747.0,1142.0,3602459016393.4424,0.02925531914893617
helium3,13,779.0,1148.0,3995901639344.262,0.013297872340425532
helium3,14,812.0,1150.0,4401639344262.295,0.007978723404255319
